date,comment
2026-03-21 00:36:37,Jaajef 🙏🏾❤️
2026-03-21 00:36:24,Jaajef mon frère
2026-03-21 00:36:10,💯🔥
2026-03-20 20:51:33,Jaajef très cher. Lolu day ñëw In Sha Allah. Yimay wax nak ce n’est pas pour tout le monde xamnaani
2026-03-20 20:50:11,"La motivation dépend du niveau de conscience. Pour les niveaux de conscience faible, c’est le monde de la survie, c’est l’animal en nous qui domine"
2026-03-19 21:44:43,Amiin❤️
2026-03-18 03:01:50,🙏🏾❤️
2026-03-18 03:01:45,🙌🏾❤️
2026-03-17 21:01:55,🤝❤️
2026-03-17 21:01:46,🙌🏾❤️
2026-03-11 21:26:46,"Lii yemena d Saay. Zone sud bi daa xawa tang temps yi, wañil ñuko tuuti rek"
2026-03-11 06:21:19,Jaajef 🤝
2026-03-11 01:37:02,Merci🙏🏾❤️
2026-03-10 23:11:05,😁🤝
2026-03-10 22:01:53,🙏❤️
2026-03-10 22:01:48,🤝❤️
2026-03-10 21:10:27,🙌🏾
2026-03-10 17:16:15,"Salaam, Jaajef ku baax 🤝"
2026-03-10 12:45:24,"Comme on m’a invité, j’avais juste partagé l’affiche en story. Tkt next time di nga diot sa boss😁"
2026-03-10 12:43:29,Salut! Y’a une version plus complète publiée en premier. Ceci est juste un extrait
2026-03-10 06:17:00,Merci très cher🤝❤️
2026-03-09 23:52:33,Jaajef mon frère
2026-03-09 23:52:18,Merci Soxna Fatima🫶🏿
2026-03-09 23:51:57,🙏🏾❤️
2026-03-09 22:53:15,Teewlu🤝
2026-03-09 22:52:51,🤝❤️
2026-03-09 11:21:47,"Oui c’est pas une expression à prendre sur sens littéral. Comme je dis, “baña nek sa jaamu bakann”, une manière de dire, tuer l’emprise qu’il a sur nous"
2026-03-07 14:23:37,Non du tout
2026-03-05 00:17:34,Tout à fait
2026-03-04 23:10:35,🤝
2026-03-04 22:59:33,🤝❤️
2026-03-04 22:59:24,🤍
2026-03-04 22:59:08,Jaajef 🤝❤️
2026-03-04 22:58:50,Indeed🤝
2026-03-04 19:17:04,"Amiin, Jaajef tres cher🤝"
2026-03-04 16:14:04,Écris moi
2026-03-04 13:52:32,Yeah sip naa
2026-03-04 12:25:30,🤝❤️
2026-03-04 07:17:40,"Mo tax mani solution amna, waaye garap bi c’est à prendre tous les jours 🤝. Ñak sago lu yomb la"
2026-03-04 07:15:37,🤝❤️
2026-03-04 07:15:31,Amul xalaat📌
2026-03-04 07:15:19,🙏❤️
2026-03-04 07:15:13,Jaajef
2026-03-04 07:14:58,🙏❤️
2026-03-04 07:14:52,Amul bayi 😁. Dans le sens de l’espoir🙌🏾 Ci ki bëgg gènn ci fitna
2026-03-04 01:36:18,Tu connais très cher🤝 Amul xalaat
2026-03-03 23:29:06,🤝❤️
2026-03-03 02:21:44,Jaajef très cher🤝
2026-03-02 19:34:01,🤝❤️
2026-03-02 01:28:35,"Detwaay, j’espère qu’à partir de cela, tu as pu te poser les bonnes questions"
2026-03-01 01:29:35,"Waw goor way, jërëjëf ci seede yi🤝❤️. Tkt dina ñëw😁"
2026-02-28 23:39:47,Amiin❤️🙏🏾
2026-02-28 01:37:28,"C’est contexte ultime. Les pensées sont juste du bruit, de l’amusement qui entretien l’illusion imposé par l’égo. Quand le cerveau se tait, on est connecté au champ de la conscience."
2026-02-28 01:34:07,Merci 🤍
2026-02-27 05:40:13,Amiin🤝❤️
2026-02-26 23:28:04,🙏❤️
2026-02-26 23:04:05,🙏🏾❤️
2026-02-26 21:52:30,"Bek ci yaw Jaarah, yalna Yalla fay la yiw🫶🏿, gën ñu xiir ci Boppam"
2026-02-26 14:28:45,Lolu idée la d😁
2026-02-26 09:39:11,🙏🏾❤️
2026-02-25 21:57:29,Merci Jaarah ❤️
2026-02-25 21:38:14,🙏🏾❤️
2026-02-25 21:32:15,Jaajef🤝❤️. Gars yi nenañ yu gudd yi da compliqué 😁
2026-02-25 20:16:43,"Amnaaci mbecte, amal jàmm❤️"
2026-02-25 20:15:26,Jaajef trés cher🤝
2026-02-24 20:09:23,"Disons que l’égo est la persistance de l'instinct animal, mais désormais élaboré par l'intellect et rendu authentique par l'accord mutuel de la société. De façon plus simple, c’est notre ancien réflexe de survie, mais déguisé en “personnalité intelligente”"
2026-02-24 12:07:39,Bien dit🙏🏾❤️
2026-02-24 12:02:29,C’est le paradoxe de la vie😁. Merci du retour
2026-02-23 19:41:42,In Sha Allah tkt pas
2026-02-23 01:06:25,"Le plaisir dans le ressenti est une Sensation de « montée » puis de chute avec battements parfois plus rapides et surtout avec une agitation subtile derrière l’agréable. Dans la signature du plaisir, Même quand c’est agréable, le cœur anticipe déjà la fin."
2026-02-23 01:03:38,"Ce sont des énergies très différentes. Le plaisir est stimulé de l’extérieur et traverse le cœur sans s’y installer durablement. Le bonheur, par contre est non causé.
Il émane du cœur, il ne lui arrive pas."
2026-02-22 00:22:52,Bul wax dara😁🤝
2026-02-22 00:22:30,🤝❤️
2026-02-22 00:22:18,Merci 🤍
2026-02-21 20:48:29,Ah oui tu penses
2026-02-21 13:38:33,🙏🏾❤️
2026-02-21 13:37:05,Amiin 🙏🏾
2026-02-21 13:36:52,Amiin mon frère 🙏🏾❤️
2026-02-21 01:57:45,"Amiin, ñu bok tawfeex yi"
2026-02-21 01:22:23,"Merci ❤️, Waaw lolu d bcp me le suggère. Dinaaci taxaw"
2026-02-21 00:48:23,🙏🏾❤️
2026-02-21 00:08:18,🙏❤️
2026-02-20 22:57:27,🫡❤️
2026-02-20 22:57:23,Merci 🙏🏾❤️
2026-02-20 06:19:20,🙏🏾❤️
2026-02-19 17:34:03,🙏🏾❤️
2026-02-19 12:42:48,Merci🙏🏾❤️
2026-02-19 11:41:45,🙏🏾❤️
2026-02-19 07:27:58,Lu werr très cher 🙏
2026-02-19 02:03:57,🤝❤️
2026-02-18 13:41:26,🤝❤️
2026-02-18 13:41:22,Merci du retour ❤️
2026-02-17 12:59:00,🙏🏾❤️
2026-02-17 12:58:51,Merci Fatimaa🙏🏾❤️
2026-02-17 00:36:14,🙏🏾❤️
2026-02-17 00:36:07,🤝❤️
2026-02-17 00:36:01,🫡❤️
2026-02-16 22:40:12,🤝❤️
2026-02-14 23:26:51,🙌🏾❤️
2026-02-14 23:26:31,Mom kay kemtaan la❤️
2026-02-14 23:25:51,🤝❤️
2026-02-14 23:25:25,❤️
2026-02-13 08:26:02,Pas encore
2026-02-13 08:25:55,Foy commencer kon?
2026-02-12 19:30:36,🤝❤️
2026-02-12 19:30:30,🤝❤️
2026-02-12 18:04:33,Sans soucis très cher🤝
2026-02-12 18:00:41,🤝❤️
2026-02-12 16:38:33,🙌🏾❤️
2026-02-12 16:38:28,🤝❤️
2026-02-12 16:38:23,🤝❤️
2026-02-12 16:05:46,❤️🤝
2026-02-10 23:34:25,🤝❤️
2026-01-30 10:49:10,Lou werr🤝
2026-01-26 07:41:26,Yémèna😭
2026-01-24 15:44:38,Bien dit champion 🤝❤️
2026-01-24 15:43:31,🤝❤️
2026-01-23 22:44:04,Dègël lolu😭🤝
2026-01-23 21:47:02,"Bien dit🤝❤️. Le sens est ce que tu obtient après compréhension. Motax le prophète n’a pas demandé plus d’argents ou de richesse matérielle mais simplement : « Seigneur, accorde-moi plus de savoir »"
2026-01-23 16:02:00,Tout à fait🤝 désapprendre est une nécessité
2026-01-23 10:38:25,Ça fait perdre la tête à certains
2026-01-22 22:07:56,Dafa leer🙌🏾
2026-01-21 21:43:29,"Non doffo d, Yaa ngi ci yonn. Li nga wara xam moy liy dëgg. Et c’est ta raison d’être. Tu t’es rendu compte que la vraie richesse n’est pas matériel, même si ça peut nous procurer du plaisir mais c’est passager. Li ngay wër nak ce n’est pas passager… Continue de renouveler ton intention, te mettre dans les conditions de pureté, niaan Yalla guindi la"
2026-01-21 20:37:05,Entièrement 🤝
2026-01-21 20:36:53,🤝❤️
2026-01-21 19:14:49,🤝❤️
2026-01-21 19:08:06,"Absolument, c’était la réaction adéquate au moment"
2026-01-21 15:33:11,Naalako dm🤣
2026-01-21 15:32:50,🤝❤️
2026-01-21 14:35:15,🤝❤️
2026-01-21 13:01:30,Absolument
2026-01-20 13:58:49,C’est très dommage mon cher. Mais ça ne tardera pas à changer In Sha Allah
2026-01-18 16:03:27,Absolument 👌
2026-01-18 16:02:57,🤝❤️
2026-01-18 16:02:43,Merci très cher
2026-01-18 16:02:33,🤝❤️
2026-01-17 21:43:34,"Lou werr, deug moy moudj 🤝"
2026-01-17 21:41:41,🤝❤️
2026-01-17 20:53:16,Merci mon cher 🤝❤️diam ci yaw
2026-01-17 18:58:49,🤝❤️
2026-01-17 13:20:12,🤝❤️
2026-01-17 12:00:30,Waw da melni gars yi ambiance lañuy wër d😁
2026-01-17 11:58:38,"Massa! Souvent ce n’est pas évident. Li nak signe la, pour nga reconnecter wou ak Borom bi"
2026-01-17 06:35:43,"Tout à fait, c’est un système complexe"
2026-01-17 02:39:39,🤝❤️
2026-01-17 02:39:30,Merci chef🤝❤️
2026-01-17 02:39:10,Non pas encore
2026-01-17 01:23:16,🤝❤️
2026-01-17 01:23:10,🤝❤️
2026-01-17 00:17:18,"Ndeysaan, merci du retour. J’en suis très ravi ❤️"
2026-01-17 00:16:31,In Sha Allah Dinaako programmer🤝
2026-01-17 00:16:10,🤝❤️
2026-01-16 22:50:41,Bien vu🤝
2026-01-16 22:10:35,Tout à fait très cher. C’est une conséquence de L’évolution de la conscience
2026-01-14 02:20:27,"Non du tout, c’est juste une bibliothèque de salon"
2026-01-13 10:23:46,🤝❤️
2026-01-12 20:41:45,"Maa ngi ci d, bul wax dara"
2026-01-12 20:40:21,🤝❤️
2026-01-12 07:21:35,🤝❤️
2026-01-12 07:21:03,Lou werr🤝
2026-01-12 00:25:38,Natou bi c’est un moyen que Dieu utilise pour tester les limites de la volonté humaine (de l’égo) . Pour vivre nous serons obligés d’implorer la Volonté de Dieu. Et c’est ça le salut
2026-01-11 23:45:34,Merci mon ami🤝
2026-01-11 23:14:56,"Merci du retour très cher, ça fait plaisir ❤"
2026-01-11 23:14:02,❤️
2026-01-11 23:13:43,Lolu tawfeex la🤝❤️
2026-01-11 23:13:32,Jaajef sang bi🤝❤️
2026-01-11 22:32:56,🙌🏾❤️
2026-01-11 22:32:51,🤝❤️
2026-01-11 22:32:47,Alhamdoulilah ❤️
2026-01-08 10:49:44,Jaajef🤝❤️
2026-01-07 17:10:55,🤝❤️
2026-01-05 13:09:40,🤝❤️
2026-01-04 17:55:22,🤝❤️
2026-01-03 15:31:40,Écris moi on en parle
2026-01-03 12:27:30,"Lolu moy wakh dji d, eskeuy, toluwaay la"
2026-01-02 19:18:54,🤝❤️
2026-01-02 18:05:15,Ah Lolou tawfeex leu
2026-01-01 20:34:35,Écrivez moi svp
2026-01-01 20:34:01,"Salam, non, c’est juste une bibliothèque de salon"
2026-01-01 19:27:50,Merci🤝
2026-01-01 19:27:40,🤝❤️
2026-01-01 18:04:36,Yan sujets nio la intéresser?
2026-01-01 15:30:37,🙌🏾❤️
2026-01-01 15:06:47,🤝❤️
2026-01-01 11:04:07,"Jaajef, diam ci yaw"
2026-01-01 11:03:50,🤝❤️
2026-01-01 07:18:24,Bilay 😁
2026-01-01 07:18:08,🤝❤️
2026-01-01 00:06:43,Jaajef! Detwaay 😁
2025-12-31 21:31:17,🤝❤️
2025-12-31 19:27:31,Merci très cher. Je l’espère aussi🤝
2025-12-31 19:27:12,Jaajef 🤝❤️
2025-12-31 17:41:22,Amiin❤️jaam ci yaw
2025-12-31 17:03:49,"D’accord, dina nieuw ci addictions yi In Sha Allah"
2025-12-31 17:02:53,🤝❤️
2025-12-31 16:38:07,Amiin mon frère. C’est un plaisir!
2025-12-31 16:37:23,"Amiin, big thanks master🫡. J’avais l’intention de faire simple han 😁"
2025-12-30 12:34:25,Lou werr🤝❤️
2025-12-29 12:39:09,"Merci du retour, ça fait plaisir🤝❤️"
2025-12-26 19:32:22,🤝❤️
2025-12-26 19:32:15,🤝❤️
2025-12-25 17:15:18,Lolu nga giss?
2025-12-25 17:14:40,Tout à fait. N’empêche nous devons prendre et assumer des responsabilités🤝. C’est le paradoxe de la vie
2025-12-21 15:55:19,Jaajef champion 🤝❤️
2025-12-21 07:32:04,🤝❤️
2025-12-20 20:38:16,Salam! Écrivez moi
2025-12-19 10:17:15,C’est un plaisir 🤝
2025-12-18 19:00:44,🙏🏾❤️
2025-12-18 17:13:05,Merciii chef❤️
2025-12-18 15:25:59,Content que ça plaise
2025-12-18 12:44:50,"Absolument❤️, chaque réponse est une parcelle de conscience (meaning). Donc cette liberté s’étend avec notre conscience"
2025-12-18 12:06:13,Heureusement nous sommes en même temps la réponse 😭
2025-12-18 11:59:31,Amiin❤️
2025-12-18 08:44:59,"T’as bien compris, très bel aperçu. Concernant la compassion, la régulation dont tu parles se trouve dans l’acceptation de notre part d’humain (ñak mat bi égo di renforcer). Dans cette perspective, cette compassion en nous même se reflète dans nos rapports avec toute autre entité. Et l’évolution spirituelle même est dans ce lâcher prise issu de l’acceptation."
2025-12-18 00:50:31,"T’as parfaitement raison. Maintenant je ne dirai pas qu’il faut essayer de le désamorcer, car ce sera synonyme de désamorcer sa propre “vie” (c’est grâce à l’ego qu’on expérimente la vie ainsi dans la dualité). Donc je dirai plutôt que c’est en l’acceptant pleinement qu’on le transcende. Et ainsi on parvient à le maîtriser car nous devenons conscient de ces agissements. Donc il faut juste de la compassion envers soi en résumé."
2025-12-18 00:39:52,❤️📌
2025-12-18 00:39:47,Amiin mon frère
2025-12-16 23:58:22,Jaajef❤
2025-12-16 23:57:55,🤝❤️
2025-12-16 16:36:22,Amiin❤️
2025-12-16 15:01:14,"Mbaadou, Eskeuy"
2025-12-16 11:31:05,Absolument
2025-12-16 01:12:48,Dègël bii xeetu dëgg rek. Eskeuy! Defalma lii ci tableau citation yaa Seydi
2025-12-15 23:59:16,Amiin ❤️
2025-12-15 23:59:02,🙌🏾❤️
2025-12-15 23:58:48,"Ousama mii jambaar la d, Eskeuy"
2025-12-15 21:22:11,"Eupnaa def😂😂, ego bi ci la bok d. Mo takh experience dund neex. Xamal comment il fonctionne rek"
2025-12-15 21:21:05,🤝❤️
2025-12-15 19:27:12,🤝❤️
2025-12-15 19:27:07,🤝❤️
2025-12-15 18:05:35,Merci 🤝❤️
2025-12-15 17:53:04,Tout à fait
2025-12-15 17:52:31,Don’t think! Feel😁
2025-12-15 17:52:19,🤝❤️
2025-12-15 17:52:12,"Non c’est pas notre ennemi😁, c’est à accepter pleinement afin de pouvoir le transcender"
2025-12-15 16:42:17,"Jaajef! Absolument, C’est l’évolution qui nous y mène naturellement."
2025-12-15 16:41:23,🤝❤️
2025-12-15 16:41:19,🙌🏾❤️
2025-12-15 16:41:14,🤝❤️
2025-12-15 16:01:06,🤝❤
2025-12-15 15:41:55,🤝❤
2025-12-15 15:41:48,Waw yi xel nangu ko lu jafe la
2025-12-14 20:13:32,Ah tawfeex la kon. In Sha Allah je continuerai à les partager
2025-12-14 18:35:14,"Non, ce sont mes écrits, pas un livre"
2025-12-13 16:36:39,"Waw nangu d tóluwaay la! Yalna Yalla yèggé ñu, yombalal ñu"
2025-12-13 16:33:49,"Lu Yalla di jaarale ci mane la rek, juge wul ci livre d."
2025-12-12 11:08:12,Mercii très cher 🤝❤️
2025-12-10 19:51:59,🤝❤️
2025-12-10 18:35:09,Jaajef mon ami🤝❤️
2025-12-10 18:34:40,🤝❤️
2025-12-07 15:48:49,Jaajef frère
2025-12-07 14:13:39,Sans doute frère 🙏🏾❤️merci du retour
2025-12-07 12:58:55,Jaajef Seydina🤝❤️
2025-12-07 10:01:49,❤️📌
2025-12-07 07:18:31,Jaajef frère 🤝❤️
2025-12-07 07:17:17,"Jaajef ! In Sha Allah, boul wakh dara. Text ma plz"
2025-12-06 23:14:35,🤝❤
2025-12-06 23:14:04,"Non, suis pas une IA😁"
2025-12-06 22:41:10,Merci Jaarah
2025-12-06 22:41:03,Jaajef🙏🏾❤️
2025-12-06 22:40:56,Content que ça aide
2025-12-06 21:17:51,🙏🏾❤️
2025-12-06 21:17:48,Jaajef❤️
2025-12-06 20:00:45,Je demanderai aux organisateurs
2025-12-06 18:56:01,🙌🏾❤️
2025-12-06 18:52:47,🙏🏾❤️
2025-12-06 18:52:41,🙌🏾❤️
2025-12-06 18:52:36,Jaajef frère 🤝❤️
2025-12-06 16:34:50,🤝❤️
2025-12-06 16:23:02,Jaajef mon frère 🤝❤️
2025-12-06 16:17:55,Amiin🤝
2025-12-06 16:17:06,Mon frère 🤝❤️
2025-12-06 16:16:30,🤝❤️
2025-12-06 16:16:26,🤝❤️
2025-12-06 15:29:07,🤝❤️
2025-12-05 11:18:00,"Interessant retour! Merci du partage. Tout à fait, ce que je dis n’est pas dans le sens où Dieu a besoin de nous pour Se connaître. Yalla ci Yàllam gi “xam” amul, besoin amul, fofu lep matna. On dira juste que Dieu se connaît de façon Absolue. Ci Relativité la ñu baaxè ñun diòmu Adama ñu expérimenter Sa connaissance. Waw causalité mom ci illusion yi la bok rek, motax si on reste dans la dimension de la raison et de la logique, bien sûr amna. Mais quand tu sors de l’emprise de l’égo tu assistes à la simultanéité de l’existence. Ken dèful ken matalul dara de façon séparée et individuelle."
2025-12-05 11:06:37,Lou werr
2025-12-02 11:21:11,🤝❤️
2025-12-02 11:20:44,Bien vu frère 🤝❤️
2025-12-01 10:10:25,🙏🏾❤️
2025-12-01 00:24:40,🤝❤️
2025-11-29 21:58:16,🤝❤️
2025-11-29 00:42:06,Waw ci yénei yi la bok d
2025-11-29 00:41:50,Tout à fait 🤝
2025-11-29 00:41:20,🤝❤
2025-11-28 22:09:09,Merci du retour🤝❤️
2025-11-28 20:47:29,🤝❤️
2025-11-28 20:40:52,🤝❤️
2025-11-28 19:46:13,🤝❤️
2025-11-28 19:46:10,🤝❤️
2025-11-28 19:46:06,Jaajef🤝❤️
2025-11-28 16:19:39,Detwaay
2025-11-28 16:10:04,"Yalla ci Yallaam gi, xamna Bopam de façon absolue. Ci zaahir nak, monde bi ñu nek nii Mom mociy manifester wu, di wane bopam ci anam yu bokul, di xam bopam à travers nous (dound: amour et sagesse) ausssi de façon relative"
2025-11-28 16:03:13,Jaajef🤝❤️
2025-11-28 15:47:48,Bien dit🤝❤
2025-11-28 15:47:09,🤝❤️
2025-11-28 15:47:01,Malaraw Cheikh bi
2025-11-28 15:46:37,🙏🏾❤️
2025-11-28 15:46:26,Jaajef frère 🤝❤️
2025-11-21 22:52:22,Cette clairvoyance est en vous mon cher. Merci d’avoir de raviver cette intention de connaître que nous partageons.
2025-11-21 20:01:18,Merci frère 🤝 ❤️content que ça te parle
2025-11-18 10:51:49,"Ce n’est pas une définition, c’est une métaphore."
2025-11-17 21:59:23,Deuguit
2025-11-17 21:59:16,Amiin🤝
2025-11-17 21:58:22,Yaw kham nga li xew😁🤝
2025-11-17 10:14:07,Jaajef
2025-11-17 10:14:00,"J’avoue, C’est une nécessité"
2025-11-17 10:13:30,🤝❤️
2025-11-16 13:48:47,Truth vibrates high❤️
2025-11-15 23:35:21,"J’avoue, certains parents n’aident. C’est un sujet qui mérite qu’on s’arrête. Tkt Dinaci nieuw In Sha Allah"
2025-11-15 18:19:47,"Casser notre cycle d’habitude et nous exposer à des sources d’énergie positives (la nature, des personnes positives, du zikr etc)"
2025-11-15 18:16:54,Tout à fait 🤝
2025-11-15 01:04:53,Detwaay! Faudra te ressourcer
2025-11-15 01:04:23,Jaajef
